MAE,MAPE,MSE,RMSE,masked_MAE,masked_MAPE,masked_MSE,masked_RMSE,R2,EVAR,model,camera_count,horizon_minutes,experiment_id,prediction_file,model_weights,run_id
3.4289155753035296,inf,60.65678024291992,4.805888177066369,5.676539421081543,0.6058526039123535,65.75897216796875,8.109190940856934,0.7890914180344099,0.44931674003601074,FNN,8,5,7001,predictions.npz,best_model.tar,run_20260913_211800
3.728224012412523,inf,60.65678024291992,5.62765082600001,5.676539421081543,0.6058526039123535,65.75897216796875,8.109190940856934,0.7108436673626,0.44931674003601074,FNN,8,15,7001,predictions.npz,best_model.tar,run_20260913_211800
5.453812480600257,inf,60.65678024291992,7.788246075920307,5.676539421081543,0.6058526039123535,65.75897216796875,8.109190940856934,0.44821068906350614,0.44931674003601074,FNN,8,60,7001,predictions.npz,best_model.tar,run_20260913_211800
4.388281896553542,inf,68.2664794921875,5.9956282715460505,6.1479363441467285,0.8131874203681946,66.99995422363281,8.18535041809082,0.6717412386587115,0.4473455548286438,GRU,8,5,7002,predictions.npz,best_model.tar,run_20260913_211800
4.785702104317514,inf,68.2664794921875,6.546839401312749,6.1479363441467285,0.8131874203681946,66.99995422363281,8.18535041809082,0.608671213339409,0.4473455548286438,GRU,8,15,7002,predictions.npz,best_model.tar,run_20260913_211800
6.039083148931202,inf,68.2664794921875,8.262353418467633,6.1479363441467285,0.8131874203681946,66.99995422363281,8.18535041809082,0.3789858598870114,0.4473455548286438,GRU,8,60,7002,predictions.npz,best_model.tar,run_20260913_211800
3.62632505846651,inf,141.3405303955078,5.404344392511192,10.938117980957031,0.8434950709342957,188.53030395507812,13.730633735656738,0.7332938917764046,0.26600533723831177,STGCN,8,5,7003,predictions.npz,best_model.tar,run_20260913_211800
4.794803921015639,inf,141.3405303955078,7.089465809613386,10.938117980957031,0.8434950709342957,188.53030395507812,13.730633735656738,0.5411133259103699,0.26600533723831177,STGCN,8,15,7003,predictions.npz,best_model.tar,run_20260913_211800
8.336178237670346,inf,141.3405303955078,11.888672224977734,10.938117980957031,0.8434950709342957,188.53030395507812,13.730633735656738,-0.28576221960596304,0.26600533723831177,STGCN,8,60,7003,predictions.npz,best_model.tar,run_20260913_211800
3.4289155753035296,inf,23.09656117046631,4.805888177066369,3.66179819468941,0.6058526039123535,25.748981073833672,5.074345383774509,0.7890914180344099,0.44931674003601074,FNN,8,5,7001,predictions.npz,best_model.tar,run_20260913_212015
3.728224012412523,inf,31.670453819378594,5.62765082600001,4.116256014548521,0.6058526039123535,35.502866289174335,5.9584281726957435,0.7108436673626,0.44931674003601074,FNN,8,15,7001,predictions.npz,best_model.tar,run_20260913_212015
5.453812480600257,inf,60.65677693908807,7.788246075920307,5.676538916007813,0.6058526039123535,65.75896691711213,8.109190275059042,0.44821068906350614,0.44931674003601074,FNN,8,60,7001,predictions.npz,best_model.tar,run_20260913_212015
4.388281896553542,inf,35.947558370562284,5.9956282715460505,4.678691845493657,0.8131874203681946,38.336892118133534,6.191679264798325,0.6717412386587115,0.4473455548286438,GRU,8,5,7002,predictions.npz,best_model.tar,run_20260913_212015
4.785702104317514,inf,42.861106146581065,6.546839401312749,5.092072833668102,0.8131874203681946,45.83552748553577,6.770194050803549,0.608671213339409,0.4473455548286438,GRU,8,15,7002,predictions.npz,best_model.tar,run_20260913_212015
6.039083148931202,inf,68.26648401166379,8.262353418467633,6.147935916988954,0.8131874203681946,66.99994845934476,8.185349623525239,0.3789858598870114,0.4473455548286438,GRU,8,60,7002,predictions.npz,best_model.tar,run_20260913_212015
3.62632505846651,inf,29.206938312867162,5.404344392511192,4.541105605661869,0.8434950709342957,37.00520967593348,6.083190747949096,0.7332938917764046,0.26600533723831177,STGCN,8,5,7003,predictions.npz,best_model.tar,run_20260913_212015
4.794803921015639,inf,50.260525465677176,7.089465809613386,6.066194251896864,0.8434950709342957,64.22883068732882,8.014289156708088,0.5411133259103699,0.26600533723831177,STGCN,8,15,7003,predictions.npz,best_model.tar,run_20260913_212015
8.336178237670346,inf,141.34052727295702,11.888672224977734,10.938116542377964,0.8434950709342957,188.53030930624337,13.73063397320908,-0.28576221960596304,0.26600533723831177,STGCN,8,60,7003,predictions.npz,best_model.tar,run_20260913_212015
