camera_id,n_images,measurable_frac,road_area_frac,mean_occ_px,mean_yolo_count,congested_frac
2701,918,0.963,0.20222,0.11987,19.57,0.1538
2702,919,0.9021,0.25715,0.06999,14.0,0.1592
2704,924,0.9545,0.46816,0.04782,9.13,0.1565
4703,919,0.9728,0.69873,0.10343,16.34,0.1622
4712,913,0.908,0.70567,0.03085,4.6,0.1592
4713,920,0.95,0.25449,0.0571,9.39,0.159
4798,910,0.8648,0.24799,0.02585,3.08,0.155
4799,898,0.9555,0.5262,0.03995,6.29,0.1562
