model,horizon_minutes,camera_id,label,MAE,RMSE,n
GRU,30,4798,free,1.98411,2.461003,50
GRU,30,4798,moderate,2.900646,3.724059,29
GRU,30,4799,congested,6.188765,7.007645,19
GRU,30,4799,free,3.586662,4.696991,55
GRU,30,4799,moderate,5.515144,6.328615,51
GRU,120,2701,congested,20.346684,21.026897,17
GRU,120,2701,free,7.726211,10.395239,113
GRU,120,2701,moderate,11.680614,13.823292,30
GRU,120,2702,congested,14.010946,14.522805,20
GRU,120,2702,free,5.004589,6.255477,89
GRU,120,2702,moderate,8.841417,10.007415,50
GRU,120,2704,congested,12.918822,15.99431,13
GRU,120,2704,free,2.698129,3.546707,105
GRU,120,2704,moderate,4.527583,6.745149,44
GRU,120,4703,congested,17.70546,20.648824,22
GRU,120,4703,free,8.63237,10.218019,83
GRU,120,4703,moderate,12.492805,15.086291,38
GRU,120,4712,congested,5.488482,8.135205,12
GRU,120,4712,free,3.468787,4.070887,111
GRU,120,4712,moderate,4.191906,5.985581,28
GRU,120,4713,congested,9.824862,10.88855,22
GRU,120,4713,free,3.531259,4.412454,82
GRU,120,4713,moderate,5.73113,6.881169,33
GRU,120,4798,congested,4.519057,4.901671,6
GRU,120,4798,free,1.955666,2.368304,48
GRU,120,4798,moderate,3.328285,4.134917,28
GRU,120,4799,congested,6.61045,7.746173,20
GRU,120,4799,free,4.175143,5.309613,56
GRU,120,4799,moderate,6.579514,7.348552,47
STGCN,10,2701,congested,12.25829,13.968148,14
STGCN,10,2701,free,7.461969,9.349725,115
STGCN,10,2701,moderate,8.943346,11.21867,31
STGCN,10,2702,congested,6.354514,8.348315,23
STGCN,10,2702,free,5.931778,7.343643,88
STGCN,10,2702,moderate,5.510514,6.99635,50
STGCN,10,2704,congested,7.098172,8.823223,19
STGCN,10,2704,free,3.832863,4.678344,100
STGCN,10,2704,moderate,4.25796,5.330499,44
STGCN,10,4703,congested,12.310522,14.990913,23
STGCN,10,4703,free,6.682156,8.082843,84
STGCN,10,4703,moderate,11.902521,14.632717,39
STGCN,10,4712,congested,4.196388,5.604167,14
STGCN,10,4712,free,2.315797,3.062525,112
STGCN,10,4712,moderate,3.581716,4.800469,29
STGCN,10,4713,congested,8.099882,9.786446,24
STGCN,10,4713,free,4.28407,5.284921,80
STGCN,10,4713,moderate,4.151369,5.151792,38
STGCN,10,4798,congested,5.611148,6.437574,7
STGCN,10,4798,free,3.088679,3.782334,51
STGCN,10,4798,moderate,5.123151,6.009843,29
STGCN,10,4799,congested,6.405986,7.460181,20
STGCN,10,4799,free,4.526078,5.698574,55
STGCN,10,4799,moderate,5.680396,6.803686,51
STGCN,30,2701,congested,13.652859,15.397928,15
STGCN,30,2701,free,9.673182,12.004307,114
STGCN,30,2701,moderate,11.12992,13.597329,31
STGCN,30,2702,congested,6.083206,8.279879,23
STGCN,30,2702,free,7.396138,8.886123,88
STGCN,30,2702,moderate,6.44978,8.556677,50
STGCN,30,2704,congested,7.907782,9.667807,18
STGCN,30,2704,free,4.175764,5.042367,101
STGCN,30,2704,moderate,4.660901,5.84834,44
STGCN,30,4703,congested,12.283418,15.293824,23
STGCN,30,4703,free,7.556731,9.156913,83
STGCN,30,4703,moderate,14.724394,17.645509,40
STGCN,30,4712,congested,4.721064,6.830772,13
STGCN,30,4712,free,2.428795,3.251062,112
STGCN,30,4712,moderate,3.994943,5.546485,30
STGCN,30,4713,congested,8.798641,10.690133,23
STGCN,30,4713,free,4.976374,6.003835,81
STGCN,30,4713,moderate,4.604184,6.097514,38
STGCN,30,4798,congested,5.734672,6.584849,7
STGCN,30,4798,free,3.132969,3.856413,50
STGCN,30,4798,moderate,5.255292,6.161396,29
STGCN,30,4799,congested,7.501706,8.426416,19
STGCN,30,4799,free,5.066509,6.424232,55
STGCN,30,4799,moderate,6.020999,7.192306,51
STGCN,120,2701,congested,14.39208,17.468204,17
STGCN,120,2701,free,12.290268,14.742468,113
