model,horizon_minutes,experiment_count,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,masked_mae_mean,masked_mae_std,masked_rmse_mean,masked_rmse_std
FNN,10,1,5.538253,0.0,7.812757,0.0,0.34997,0.0,5.396244,0.0,7.559917,0.0
FNN,120,1,6.352758,0.0,9.175943,0.0,0.093725,0.0,7.162338,0.0,10.306535,0.0
FNN,30,1,5.896179,0.0,8.361871,0.0,0.2568,0.0,6.121407,0.0,8.684511,0.0
GRU,10,1,6.062249,0.0,8.012722,0.0,0.316269,0.0,5.62135,0.0,7.587962,0.0
GRU,120,1,6.026996,0.0,8.240127,0.0,0.269153,0.0,6.147808,0.0,8.623578,0.0
GRU,30,1,6.099957,0.0,8.078152,0.0,0.306378,0.0,5.812962,0.0,7.860637,0.0
STGCN,10,1,5.638526,0.0,7.944232,0.0,0.327908,0.0,5.472803,0.0,7.398872,0.0
STGCN,120,1,7.692196,0.0,10.521269,0.0,-0.191502,0.0,7.991997,0.0,10.642083,0.0
STGCN,30,1,6.204459,0.0,8.753576,0.0,0.18554,0.0,6.299131,0.0,8.581518,0.0
