model,horizon_minutes,camera_count,MAE,MSE,RMSE,R2
persistence,10,8,6.222957,91.254207,9.552707,0.028198
persistence,30,8,6.035457,90.587139,9.517728,0.037135
persistence,120,8,7.463341,120.686899,10.985759,-0.299029
seasonal_naive,10,8,7.790865,128.122596,11.319125,-0.364428
seasonal_naive,30,8,7.853365,129.649038,11.386353,-0.37806
seasonal_naive,120,8,7.742788,128.15024,11.320346,-0.379361
